label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6531	4586.617	3000.000	6107.399	29955196	1.000
0	141	3269.504	2000.000	2405.312	461000	0.015
1	1113	4027.118	3000.000	3456.632	4482182	0.150
2	226	2433.628	2000.000	934.833	550000	0.018
3	1339	5123.451	3000.000	8099.592	6860301	0.229
4	48	3687.500	2000.000	4118.840	177000	0.006
5	396	4987.374	3000.000	6604.432	1975000	0.066
6	126	2452.381	2000.000	939.496	309000	0.010
7	169	7650.888	4000.000	17980.990	1293000	0.043
8	505	2664.539	2000.000	1246.901	1345592	0.045
9	1920	4662.042	4000.000	3619.841	8951121	0.299
10	264	8647.727	5000.000	10149.683	2283000	0.076
11	184	5103.261	3000.000	4843.776	939000	0.031
12	100	3290.000	3000.000	2050.829	329000	0.011
