,Celltype,experiment,biosample (isoreplicate),files
0,CD14-positive_monocyte,H3K27me3,ENCBS188BKX (rep. 1),"ENCFF630ANH, ENCFF840DRQ"
1,CD14-positive_monocyte,H3K27me3,ENCBS865RXK (rep. 2),"ENCFF785GAD, ENCFF586PRJ"
2,CD14-positive_monocyte,H3K4me2,ENCBS188BKX (rep. 1),"ENCFF591CTO, ENCFF572NHK"
3,CD14-positive_monocyte,H3K4me2,ENCBS865RXK (rep. 2),"ENCFF384IVB, ENCFF031HMX"
4,CD14-positive_monocyte,H3K4me3,ENCBS188BKX (rep. 1),"ENCFF640GCK, ENCFF367ZHA"
5,CD14-positive_monocyte,H3K4me3,ENCBS865RXK (rep. 2),"ENCFF144PKE, ENCFF439PJT"
6,CD14-positive_monocyte,H3K79me2,ENCBS188BKX (rep. 1),"ENCFF463WUU, ENCFF464AAD"
7,CD14-positive_monocyte,H3K79me2,ENCBS865RXK (rep. 2),"ENCFF159LCH, ENCFF451RBS"
8,CD14-positive_monocyte,H3K4me1,ENCBS188BKX (rep. 1),"ENCFF573MNS, ENCFF281FSL"
9,CD14-positive_monocyte,H3K4me1,ENCBS865RXK (rep. 2),"ENCFF141KHX, ENCFF669AVC"
10,CD14-positive_monocyte,H3K9ac,ENCBS188BKX (rep. 1),"ENCFF775XVG, ENCFF835QUH"
11,CD14-positive_monocyte,H3K9ac,ENCBS865RXK (rep. 2),"ENCFF326KCT, ENCFF627PKL"
12,CD14-positive_monocyte,H4K20me1,ENCBS188BKX (rep. 1),"ENCFF899MAF, ENCFF657KKL"
13,CD14-positive_monocyte,H4K20me1,ENCBS865RXK (rep. 2),"ENCFF238ZAC, ENCFF938RSM"
14,CD14-positive_monocyte,H3K9me3,ENCBS188BKX (rep. 1),"ENCFF537BKE, ENCFF264DFY"
15,CD14-positive_monocyte,H3K9me3,ENCBS865RXK (rep. 2),"ENCFF168UCU, ENCFF726FHO"
16,CD14-positive_monocyte,H3K27ac,ENCBS188BKX (rep. 1),"ENCFF014BCD, ENCFF078DZN"
17,CD14-positive_monocyte,H3K27ac,ENCBS865RXK (rep. 2),"ENCFF872QFO, ENCFF948MET"
18,CD14-positive_monocyte,H2AFZ,ENCBS188BKX (rep. 1),"ENCFF891JRY, ENCFF834IMH"
19,CD14-positive_monocyte,H2AFZ,ENCBS865RXK (rep. 2),"ENCFF992JKA, ENCFF175WGJ"
20,CD14-positive_monocyte,H3K36me3,ENCBS188BKX (rep. 1),"ENCFF629ODR, ENCFF494ICL"
21,CD14-positive_monocyte,H3K36me3,ENCBS865RXK (rep. 2),"ENCFF150SGV, ENCFF554VRE"
22,MCF-7,H3K27me3,ENCBS789UPK (rep. 1),"ENCFF413QYQ, ENCFF222KPM"
23,MCF-7,H3K27me3,ENCBS967MVZ (rep. 2),"ENCFF744JQU, ENCFF070PLQ"
24,MCF-7,H3K9me2,ENCBS789UPK (rep. 1),"ENCFF249TCH, ENCFF727FOP"
25,MCF-7,H3K9me2,ENCBS967MVZ (rep. 2),"ENCFF418SFP, ENCFF727JSD"
26,MCF-7,H3K4me2,ENCBS789UPK (rep. 1),"ENCFF134YPW, ENCFF095LXY"
27,MCF-7,H3K4me2,ENCBS967MVZ (rep. 2),"ENCFF680ERD, ENCFF930AIB"
