,chr,start,end,strand,gene_id,gene_type,gene_name
0,chr1,65419,71585,+,ENSG00000186092.7,protein_coding,OR4F5
1,chr1,450740,451678,-,ENSG00000284733.2,protein_coding,OR4F29
2,chr1,685716,686654,-,ENSG00000284662.2,protein_coding,OR4F16
3,chr1,923923,944575,+,ENSG00000187634.13,protein_coding,SAMD11
4,chr1,944203,959309,-,ENSG00000188976.11,protein_coding,NOC2L
5,chr1,960584,965719,+,ENSG00000187961.15,protein_coding,KLHL17
6,chr1,966482,975865,+,ENSG00000187583.11,protein_coding,PLEKHN1
7,chr1,975198,982117,-,ENSG00000187642.10,protein_coding,PERM1
8,chr1,998962,1000172,-,ENSG00000188290.11,protein_coding,HES4
9,chr1,1001138,1014540,+,ENSG00000187608.10,protein_coding,ISG15
10,chr1,1020120,1056118,+,ENSG00000188157.15,protein_coding,AGRN
11,chr1,1070967,1074306,-,ENSG00000237330.3,protein_coding,RNF223
12,chr1,1081818,1116361,-,ENSG00000131591.18,protein_coding,C1orf159
13,chr1,1173880,1197936,+,ENSG00000162571.14,protein_coding,TTLL10
14,chr1,1203508,1206592,-,ENSG00000186891.14,protein_coding,TNFRSF18
15,chr1,1211326,1214153,-,ENSG00000186827.12,protein_coding,TNFRSF4
16,chr1,1216931,1232031,-,ENSG00000078808.20,protein_coding,SDF4
17,chr1,1232237,1235041,+,ENSG00000176022.7,protein_coding,B3GALT6
18,chr1,1242446,1246722,-,ENSG00000184163.3,protein_coding,C1QTNF12
19,chr1,1253909,1273864,-,ENSG00000160087.21,protein_coding,UBE2J2
20,chr1,1280436,1292029,+,ENSG00000162572.21,protein_coding,SCNN1D
21,chr1,1292390,1309609,-,ENSG00000131584.19,protein_coding,ACAP3
22,chr1,1308597,1311677,+,ENSG00000169972.12,protein_coding,PUSL1
23,chr1,1311585,1324687,-,ENSG00000127054.22,protein_coding,INTS11
24,chr1,1324756,1328896,+,ENSG00000224051.7,protein_coding,CPTP
25,chr1,1331280,1335314,+,ENSG00000169962.5,protein_coding,TAS1R3
26,chr1,1335276,1349418,-,ENSG00000107404.21,protein_coding,DVL1
27,chr1,1352689,1361777,-,ENSG00000162576.17,protein_coding,MXRA8
28,chr1,1373730,1375207,-,ENSG00000175756.14,protein_coding,AURKAIP1
29,chr1,1385711,1399335,-,ENSG00000221978.13,protein_coding,CCNL2
30,chr1,1401909,1407293,-,ENSG00000242485.6,protein_coding,MRPL20
31,chr1,1418420,1421769,-,ENSG00000235098.9,protein_coding,ANKRD65
32,chr1,1425871,1430255,+,ENSG00000205116.4,protein_coding,TMEM88B
33,chr1,1434861,1442882,+,ENSG00000179403.12,protein_coding,VWA1
34,chr1,1449689,1470163,+,ENSG00000215915.10,protein_coding,ATAD3C
35,chr1,1471765,1497848,+,ENSG00000160072.20,protein_coding,ATAD3B
36,chr1,1512162,1534685,+,ENSG00000197785.14,protein_coding,ATAD3A
37,chr1,1534778,1540624,-,ENSG00000205090.9,protein_coding,TMEM240
38,chr1,1541673,1574863,-,ENSG00000160075.12,protein_coding,SSU72
39,chr1,1598012,1600135,-,ENSG00000228594.4,protein_coding,FNDC10
40,chr1,1615454,1630605,+,ENSG00000197530.13,protein_coding,MIB2
41,chr1,1632163,1635263,+,ENSG00000189409.14,protein_coding,MMP23B
42,chr1,1635225,1659012,-,ENSG00000248333.9,protein_coding,CDK11B
43,chr1,1659529,1692795,-,ENSG00000189339.12,protein_coding,SLC35E2B
44,chr1,1702379,1724357,-,ENSG00000008128.23,protein_coding,CDK11A
45,chr1,1751232,1780457,-,ENSG00000008130.15,protein_coding,NADK
46,chr1,1785285,1892292,-,ENSG00000078369.19,protein_coding,GNB1
47,chr1,1915108,1917296,+,ENSG00000169885.10,protein_coding,CALML6
48,chr1,1917590,1919279,-,ENSG00000178821.13,protein_coding,TMEM52
49,chr1,1921951,2003837,-,ENSG00000142609.20,protein_coding,CFAP74
50,chr1,2019329,2030758,+,ENSG00000187730.9,protein_coding,GABRD
51,chr1,2050411,2185395,+,ENSG00000067606.17,protein_coding,PRKCZ
52,chr1,2184461,2212720,-,ENSG00000162585.17,protein_coding,FAAP20
53,chr1,2227388,2310213,+,ENSG00000157933.11,protein_coding,SKI
54,chr1,2321253,2391707,-,ENSG00000116151.14,protein_coding,MORN1
55,chr1,2391775,2405442,+,ENSG00000157916.20,protein_coding,RER1
56,chr1,2403964,2413797,-,ENSG00000157911.11,protein_coding,PEX10
57,chr1,2425980,2505532,+,ENSG00000149527.18,protein_coding,PLCH2
58,chr1,2508537,2526597,-,ENSG00000157881.16,protein_coding,PANK4
59,chr1,2528745,2530263,-,ENSG00000197921.6,protein_coding,HES5
60,chr1,2555639,2565382,+,ENSG00000157873.18,protein_coding,TNFRSF14
61,chr1,2586491,2591469,+,ENSG00000157870.17,protein_coding,PRXL2B
62,chr1,2590639,2633016,-,ENSG00000142606.16,protein_coding,MMEL1
63,chr1,2636986,2801693,-,ENSG00000215912.13,protein_coding,TTC34
64,chr1,3021467,3022903,+,ENSG00000169717.7,protein_coding,ACTRT2
65,chr1,3069168,3438621,+,ENSG00000142611.17,protein_coding,PRDM16
66,chr1,3454665,3481113,+,ENSG00000130762.15,protein_coding,ARHGEF16
67,chr1,3487951,3611508,-,ENSG00000162591.17,protein_coding,MEGF6
68,chr1,3625015,3630127,+,ENSG00000158109.15,protein_coding,TPRG1L
69,chr1,3630767,3652761,-,ENSG00000116213.16,protein_coding,WRAP73
70,chr1,3652516,3736201,+,ENSG00000078900.15,protein_coding,TP73
71,chr1,3746460,3771645,+,ENSG00000162592.10,protein_coding,CCDC27
72,chr1,3772749,3775982,+,ENSG00000235169.11,protein_coding,SMIM1
73,chr1,3778559,3796498,-,ENSG00000130764.10,protein_coding,LRRC47
74,chr1,3812086,3857396,-,ENSG00000116198.14,protein_coding,CEP104
75,chr1,3857267,3885429,+,ENSG00000169598.17,protein_coding,DFFB
76,chr1,3889125,3900293,-,ENSG00000198912.12,protein_coding,C1orf174
77,chr1,4654609,4792534,+,ENSG00000196581.11,protein_coding,AJAP1
78,chr1,5862811,5992473,-,ENSG00000131697.18,protein_coding,NPHP4
79,chr1,5990927,6101193,+,ENSG00000069424.16,protein_coding,KCNAB2
80,chr1,6101787,6180321,-,ENSG00000116254.18,protein_coding,CHD5
81,chr1,6159430,6197757,-,ENSG00000285629.1,protein_coding,ENSG00000285629
82,chr1,6185020,6209389,-,ENSG00000116251.11,protein_coding,RPL22
83,chr1,6205475,6221299,+,ENSG00000158286.13,protein_coding,RNF207
84,chr1,6221193,6235972,-,ENSG00000116237.16,protein_coding,ICMT
85,chr1,6244179,6245578,+,ENSG00000173673.8,protein_coding,HES3
86,chr1,6247353,6261098,-,ENSG00000158292.7,protein_coding,GPR153
87,chr1,6264269,6393767,-,ENSG00000097021.20,protein_coding,ACOT7
88,chr1,6412418,6424670,-,ENSG00000069812.11,protein_coding,HES2
89,chr1,6424776,6461367,+,ENSG00000187017.18,protein_coding,ESPN
90,chr1,6460786,6466175,-,ENSG00000215788.11,protein_coding,TNFRSF25
91,chr1,6467122,6520074,-,ENSG00000171680.23,protein_coding,PLEKHG5
92,chr1,6521347,6554513,-,ENSG00000162408.11,protein_coding,NOL9
93,chr1,6555307,6579755,+,ENSG00000173662.21,protein_coding,TAS1R1
94,chr1,6579994,6589280,+,ENSG00000204859.13,protein_coding,ZBTB48
95,chr1,6590724,6614607,-,ENSG00000162413.17,protein_coding,KLHL21
96,chr1,6613731,6624030,+,ENSG00000116273.6,protein_coding,PHF13
97,chr1,6624868,6635586,+,ENSG00000041988.16,protein_coding,THAP3
98,chr1,6634168,6701924,-,ENSG00000007923.17,protein_coding,DNAJC11
99,chr1,6785454,7769706,+,ENSG00000171735.20,protein_coding,CAMTA1
100,chr1,7771296,7781432,+,ENSG00000049245.13,protein_coding,VAMP3
101,chr1,7784291,7845177,+,ENSG00000049246.15,protein_coding,PER3
102,chr1,7843083,7853512,-,ENSG00000049247.14,protein_coding,UTS2
103,chr1,7915871,7943165,-,ENSG00000049249.10,protein_coding,TNFRSF9
104,chr1,7954291,7985505,+,ENSG00000116288.13,protein_coding,PARK7
105,chr1,8004404,8026309,-,ENSG00000116285.13,protein_coding,ERRFI1
106,chr1,8318114,8344167,+,ENSG00000162426.16,protein_coding,SLC45A1
107,chr1,8352397,8848921,-,ENSG00000142599.20,protein_coding,RERE
108,chr1,8861000,8879190,-,ENSG00000074800.16,protein_coding,ENO1
109,chr1,8945867,8975092,+,ENSG00000131686.15,protein_coding,CA6
110,chr1,9002973,9026423,-,ENSG00000197241.4,protein_coding,SLC2A7
111,chr1,9035106,9088478,-,ENSG00000142583.18,protein_coding,SLC2A5
112,chr1,9100305,9129102,-,ENSG00000180758.12,protein_coding,GPR157
113,chr1,9234774,9271337,+,ENSG00000049239.13,protein_coding,H6PD
114,chr1,9292894,9369532,+,ENSG00000171621.14,protein_coding,SPSB1
